Trait	Diff	p.val	p.adj
Caudate activity during reward	0.0558494588975625	1.06217705162391e-12	1.90023474535518e-09
Eudaimonic well-being	0.0558348474701564	4.2018557524089e-07	0.000634480218613744
Waist-to-hip ratio adjusted for BMI in non-smokers	0.0553712974551522	1.29038336950782e-08	2.09687297545021e-05
Clozapine-induced agranulocytosis	0.0551633960788497	1.32796344221987e-17	2.49524330793113e-14
Body mass index in physically inactive individuals	0.0550029757476566	7.00732407000888e-05	0.0888528692077125
Iris heterochromicity	0.0548758865248227	0.00677897989014918	1
Pit-and-Fissure caries	0.0544774374561608	1.23167407625178e-05	0.0167015004739741
Response to radiotherapy in prostate cancer toxicity, decreased urine stream	0.0544706180344478	0.000101808816636634	0.12614112381279
Proinsulin levels	0.0544579533941235	0.00407895298566046	1
Glomerular filtration rate in non diabetics creatinine	0.0543876568922129	5.77658606228559e-10	9.7393241010135e-07
Facial morphology factor 17, height of vermillion upper lip	0.0542526327100796	2.50273168595578e-06	0.00357390084754485
Vascular endothelial growth factor levels	0.0542047831165506	6.05784774722208e-11	1.05345972324192e-07
Monocyte chemoattractant protein-3 levels	0.0536980749746708	1.17802074967155e-05	0.0160210821955331
Iron status biomarkers transferrin levels	0.0535714285714285	0.000594518302295696	0.670022126687249
Heart rate increase in response to exercise	0.0534131205673758	8.71171702254961e-05	0.108983579952096
Osteoarthritis of the hip or knee hospital diagnosed	0.0533687943262411	0.00157368731959934	1
Very long-chain saturated fatty acid levels fatty acid 20:0	0.0533509044147342	6.7183656970057e-06	0.00934524668453493
Lung function FEV1	0.0532039362331369	1.56024738969542e-10	2.68050501549673e-07
Menstruation quality of life impact nervousness	0.0531914893617021	0.271796194803281	1
Neutralising antibody response to interferon beta therapy in multiple sclerosis area under the curve for the first two years	0.0531914893617021	0.275631049859822	1
Neutralising antibody response to interferon beta therapy in multiple sclerosis maximum antibody levels	0.0531914893617021	0.275631049859822	1
Neutralising antibody response to interferon beta therapy in multiple sclerosis mean antibody levels	0.0531914893617021	0.275631049859822	1
Serum parathyroid hormone levels	0.0531914893617021	0.00773242806487566	1
Aortic-valve calcification	0.0531914893617021	0.00621132244973369	1
Red wine liking	0.0531914893617021	0.00106035951081011	1
Age-related macular degeneration CNV vs. GA	0.0531914893617021	0.192046272859334	1
Fuchs's corneal dystrophy	0.0531914893617021	0.000134748489891793	0.164932151627554
Neuritic plaques or cerebral amyloid angiopathy pleiotropy	0.0531914893617021	0.0381305955674819	1
Chlamydia trachomatis seropositivity	0.053191489361702	0.0383062443791933	1
Small vessel stroke	0.0530015197568389	0.00223930234684507	1
Follicular lymphoma	0.0526215805471124	0.000292671751245865	0.343303964211399
Facial emotion recognition	0.0523049645390071	0.0167235669456229	1
HDL cholesterol levels	0.0523018366197379	8.28823310801471e-14	1.50514313241547e-10
Lp a levels	0.0518617021276596	0.00108326144362975	1
Mean arterial pressure x alcohol consumption light vs heavy interaction 2df test	0.0516858882790674	1.16185426906008e-07	0.000180784524265749
QRS duration	0.051342412664954	2.93254748400591e-07	0.000448093255556103
Aortic root size	0.051310982162046	0.000313121110672739	0.365725457265759
White matter lesion progression	0.0511651469098277	0.0028792755854862	1
Sexual dysfunction SSRI-over-SNRI-related	0.051063829787234	2.81581457801054e-09	4.65172568287342e-06
Plasma omega-3 polyunsaturated fatty acid levels docosapentaenoic acid	0.0510490543735225	0.000273028250492809	0.322239247854624
Lumbar spine bone mineral density trabecular	0.0509617451106814	6.92576731782095e-05	0.0881650179558607
Waist-to-hip ratio adjusted for BMI x sex x age interaction 4df test	0.0506932750993831	1.65031333326481e-18	3.11084063320416e-15
Insulin levels in response to oral glucose tolerance test 30 minutes	0.0505319148936171	0.146384804324592	1
Plasma plasminogen levels	0.050531914893617	0.00101704209494359	1
Circulating fibroblast growth factor 23 levels	0.0500753678945168	1.3111694823228e-05	0.0176745646217114
Fractures	0.0500408144036729	6.05766080764926e-06	0.00845649448747837
Caffeine metabolism plasma 1,3,7-trimethylxanthine caffeine level	0.0498255733628074	0.00363902663393994	1
Takotsubo syndrome	0.0497340425531915	0.008454664965254	1
Alcohol consumption over the past year	0.0496453900709221	0.00226369999461918	1
Non-substance related behavioral disinhibition	0.049645390070922	0.00306496236055715	1
Total body bone mineral density age 45-60	0.0493365676876316	3.41575823150719e-05	0.0448489055796895
Liver enzyme levels alkaline phosphatase	0.0492101869761444	0.00117472763759955	1
Epithelial ovarian cancer	0.04905750455488	3.747984751814e-12	6.65642091922167e-09
Age-related macular degeneration smoking status interaction	0.048758865248227	0.00979465638858146	1
Vaginal discharge smell	0.048758865248227	0.00457499516099174	1
Low white blood cell count conditioned on rs2814778	0.0487356319803128	6.78207450711728e-05	0.0864714499657453
Skin aging microtopography measurement	0.0486744343127323	0.0015281154427681	1
Sexual dimorphism in anthropometric traits	0.0484739108409321	0.000532359222509113	0.603695358325334
Sjögren's syndrome	0.0484230401923571	1.08232896258872e-06	0.00159210590396801
Mammographic density non-dense area	0.0482839412360689	0.00187036890337663	1
Coronary artery disease in type 1 diabetes	0.0482605308403181	1.24539854889335e-07	0.000193285854788248
Psoriatic arthritis	0.0480639041809255	3.20562375525338e-05	0.0421860086191345
Alcohol dependence	0.047969608581618	5.67924379659418e-07	0.000849614871970489
Monocyte early outgrowth colony forming units	0.047872340425532	0.117011439846278	1
Reading disability or specific language impairment adjusted for intelligence quotient pleiotropy	0.047872340425532	0.0185134802452201	1
Common traits Other	0.0478723404255319	0.015338880093596	1
Infantile hypertrophic pyloric stenosis	0.0478723404255319	0.0193670194119738	1
Pemphigus foliaceus	0.0478723404255319	0.115586007925371	1
Fractures vertebral	0.0478723404255319	0.0264145277871044	1
Hearing impairment	0.0478723404255319	0.00983443733660611	1
Insulin levels in response to oral glucose tolerance test fasting	0.0478723404255319	0.32605341251183	1
Job-related exhaustion in shift workers	0.0478723404255319	0.309748689347584	1
Lachrymal-over-Salivary gland lesion in type 1 autoimmune pancreatitis	0.0478723404255319	0.0182513849267486	1
Plasma omega-3 polyunsaturated fatty acid levels alphalinolenic acid	0.0478723404255319	0.000220974969678133	0.264507038704726
Serum selenium levels	0.0478723404255319	0.0529909718376041	1
Red vs. brown-over-black hair color	0.0477456940222897	7.63948516969811e-05	0.0963339079898932
Systolic blood pressure alcohol consumption interaction	0.0475177304964539	0.0029107586222221	1
Waist circumference adjusted for BMI in non-smokers	0.0474392804768754	1.80097162329765e-09	2.98961289467411e-06
Hippocampal atrophy	0.047369976359338	0.000402713850758082	0.463120928371794
Bipolar disorder lithium response continuous or schizophrenia	0.0471884498480243	0.00654467216476205	1
Frontotemporal dementia with GRN mutation age at onset	0.0470744680851063	0.000180821769684894	0.218975163088407
Economic and political preferences immigration-over-crime	0.0470052996648742	9.05329045247983e-05	0.112894531942424
Molar-incisor hypomineralization	0.0469858156028369	0.0101190464445941	1
Bone mineral density lumbar spine in inflammatory bowel disease	0.0469858156028369	0.0908979879710853	1
Alcoholism alcohol dependence factor score	0.0468085106382979	0.0125042415339205	1
Recurrent major depressive disorder	0.046564162787567	2.26429943330282e-05	0.0301378254572605
Body mass index change over time	0.0463779128672746	0.000549573397041666	0.621567512054124
Major depressive disorder ICD-10 coded	0.0460992907801419	0.0393363763963565	1
Urinary albumin-to-creatinine ratio in non-diabetics	0.0460992907801419	0.000403183795033602	0.463258180493609
Head circumference infant	0.0460992907801417	0.0955690694444383	1
Spherical equivalent joint analysis main effects and education interaction	0.0460992907801417	0.0110857460813662	1
Alcohol consumption transferrin glycosylation	0.0460106382978723	0.00827456164162861	1
Intrinsic epigenetic age acceleration	0.0459219858156028	0.0103606015448667	1
Orofacial clefts	0.0459219858156028	0.000346877814119407	0.403072020006751
Alcohol consumption maxi-drinks	0.0457932286389733	0.000230099883660582	0.274279061323414
Smoking behavior	0.0456502717141015	9.75795139378773e-05	0.121193756310844
Adolescent idiopathic scoliosis	0.0456264775413711	0.00116185948861115	1
Adverse response to chemotherapy neutropenia-over-leucopenia docetaxel	0.0455673758865248	0.0128191692809642	1
TB-LM or TBLH-BMD pleiotropy	0.0455151822173099	8.59107465218892e-05	0.107560254645405
Tuberculosis	0.0454880696358495	2.19039458739585e-08	3.51339291818294e-05
Medication adherence in chronic diseases	0.0452127659574468	0.0564910380321207	1
Plasma renin activity levels	0.0452127659574468	0.02491780319931	1
Extrinsic epigenetic age acceleration	0.0452127659574467	0.161980828741488	1
Esophageal squamous cell carcinoma	0.0452085444106722	0.00273780966685035	1
Calcium levels	0.0451528959482167	4.58110243401624e-08	7.25646625548172e-05
Problematic alcohol use in trauma-exposed individuals	0.0451241134751773	0.0069897975807177	1
Interleukin-13 levels	0.0448549677273081	9.40111100868287e-06	0.012954730969965
Smooth-surface caries	0.0446786679226295	2.17257324862498e-12	3.87369810229834e-09
Endometrial cancer Non-endometrioid histology	0.0445921985815603	0.00120126463778591	1
Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia	0.0443262411347518	0.00269994857700171	1
Plasma omega-3 polyunsaturated fatty acid level eicosapentaenoic acid	0.044232215774769	2.13789887540179e-06	0.00307216068395238
Glomerular filtration rate creatinine	0.044173313505359	1.93895207834412e-20	3.68013104469714e-17
Menstruation quality of life impact pressure in breast	0.0438829787234042	0.0562977318243072	1
Pediatric areal bone mineral density radius	0.043842062193126	5.61781222419533e-05	0.072132708958668
Waist-to-hip ratio adjusted for BMI	0.0436823692987137	5.05011018006365e-16	9.37805460437821e-13
Pediatric bone mineral content spine	0.0433890577507599	0.00539900639735767	1
Optic nerve measurement cup-to-disc ratio	0.0433510638297872	0.0263990821186925	1
Response to ziprazidone in schizophrenia	0.0431864235055724	0.05996615403168	1
Epilepsy and lamotrigine-induced maculopapular eruptions	0.0426798378926039	7.90340263912154e-05	0.0993457711737578
Urate levels BMI interaction	0.0425830396548317	6.57598682183927e-06	0.00915377365600026
Nicotine withdrawal	0.0424645390070922	0.0123626572264947	1
Lung adenocarcinoma	0.0423629554668954	2.23261558026918e-11	3.92270557453295e-08
Menstruation quality of life impact loss of concentration	0.0420719351570415	0.0069921273512865	1
Waist circumference adjusted for BMI joint analysis main effects and smoking interaction	0.0418045630628169	1.93027742230654e-07	0.000297262723035207
Creatinine levels	0.0415780141843972	2.15271363014562e-06	0.00309129677288911
Cortisol levels saliva	0.0415041371158393	0.00155720813490668	1
Bipolar disorder with mood-incongruent psychosis	0.0414133738601823	0.0109137391183741	1
Total body bone mineral density age 0-15	0.0413120567375886	0.0352804376924514	1
Low-grade serous and serous borderline ovarian cancer	0.0412095882840564	0.00574253864017443	1
Attention deficit hyperactivity disorder symptom score	0.0411347517730496	0.0121402572902197	1
Lipoproteina levels adjusted for apolipoproteina isoforms	0.0411133193048087	4.48244211368123e-09	7.36913483489194e-06
Staphylococcus aureus infection	0.0409574468085106	0.00739826566567099	1
Metabolite levels  X-11787	0.0407683697311357	1.0951191632976e-05	0.0149593277706453
Lung function FVC	0.0406584759050856	4.05410840448732e-07	0.000612575779918034
Gestational age at birth in labor-initiated deliveries child effect	0.0406112799729821	2.51228558748945e-06	0.00358503153334745
Parental longevity both parents in top 10%	0.0405901722391084	0.00505286329163588	1
Rosacea symptom severity	0.0402559646674249	3.30533276660416e-13	5.9595149781873e-10
Facial morphology factor 22	0.0402482269503546	0.000389597164684537	0.449205530881272
Osteoarthritis hip	0.0402346963517177	5.73042835890188e-05	0.073406787277533
Ewing sarcoma	0.0402228976697061	0.00933222507080368	1
Dentate gyrus molecular layer volume	0.0400709219858156	0.0329189849410999	1
Hip shape DXA scan	0.0400480872555341	0.00291816496021314	1
IgA nephropathy	0.0399473457984096	0.00391990503701497	1
Diastolic blood pressure x alcohol consumption light vs heavy interaction 2df test	0.0398423989065896	4.26458117844392e-06	0.00601581464959972
Macrophage inflammatory protein 1a levels	0.0397391467870191	0.00132379670430748	1
Macrophage Migration Inhibitory Factor levels	0.0396888720027018	0.00159947543360842	1
Feeling worry	0.0395798823800707	1.61619292914363e-10	2.77500325933961e-07
Educational attainment college completion	0.0394747096874755	0.000438298089736452	0.501413014658501
Carotid plaque burden smoking interaction	0.0394503546099291	0.0595816223699656	1
Malaria	0.039387031408308	0.00344872722726182	1
Irritable bowel syndrome	0.0392340815213155	0.000127473259348739	0.156537162480251
Plateletcrit	0.0391426496665201	1.24398101880757e-23	2.37227180286603e-20
Callous-unemotional behaviour	0.0390070921985816	0.09695286423229	1
Laterality in neovascular age-related macular degeneration	0.0390070921985816	0.0975371797241314	1
Wegener's granulomatosis	0.0390070921985816	0.0630778305382897	1
Thiazide-induced adverse metabolic effects in hypertensive patients	0.0389763205162107	5.69402762024840e-11	9.90760805923222e-08
Idiopathic pulmonary fibrosis	0.0389437689969605	0.00501043517987822	1
Polymyositis	0.038563829787234	0.0321542088529971	1
Estrone levels	0.038563829787234	0.0727220755852463	1
Waist-to-hip ratio adjusted for BMI joint analysis main effects and smoking interaction	0.0383592471358429	0.000460462849754825	0.5249276487205
Epilepsy remission after treatment	0.0379432624113475	0.0164092098518769	1
Adverse response to chemotherapy neutropenia-over-leucopenia all antimetabolite drugs	0.0377659574468085	0.0083364554142229	1
Brain structure temporal lobe volume	0.0377659574468085	0.0192106296195713	1
Interleukin-6 levels	0.0375571281144036	2.06697961435615e-05	0.0275528382593675
Infant length	0.0374600576728236	0.00119070258185155	1
Kidney stones	0.037322695035461	0.079115411455554	1
Mean corpuscular hemoglobin concentration	0.0372661127073931	3.28729371768841e-09	5.4174600467505e-06
Soluble levels of adhesion molecules	0.0372340425531915	0.0160877731530676	1
Asthma or chronic obstructive pulmonary disease	0.0372340425531915	0.120899683788984	1
Very low density lipoprotein cholesterol levels	0.0372340425531915	0.0301400260344568	1
Bipolar disorder lithium response categorical or schizophrenia	0.0372340425531915	0.0203379382401494	1
Thyroid nodules	0.0372340425531915	0.204444937002477	1
Alcoholism 12-month weekly alcohol consumption	0.0372340425531914	0.194172679675911	1
Waist circumference adjusted for BMI in smokers	0.0372129348193178	0.0204188745660894	1
Stroke	0.0368151389895264	1.14341675316698e-05	0.015584770345666
Response to treatment for acute lymphoblastic leukemia	0.036790780141844	0.00306691851725247	1
Acute urticaria and angioedema non-steroidal anti-inflammatory drug-induced	0.036790780141844	0.00474584989415337	1
Waist-to-hip ratio adjusted for BMI adjusted for smoking behaviour	0.036356461736139	0.000121744287397321	0.149745473498705
LDL peak particle diameter total fat intake interaction	0.0363436065915728	0.000930810314627377	1
Lung function FEV1-over-FVC	0.0362714696880875	2.13901068830498e-10	3.65770827700151e-07
Lung cancer in ever smokers	0.0362233365044939	7.50145842588818e-13	1.34501149576175e-09
nicotine metabolite ratio in current smokers	0.0359813871117063	0.000191615411537269	0.230650438046721
Obsessive-compulsive symptoms	0.0359197540048605	0.000229884352454959	0.274252032478766
Liver fibrosis in pediatric non-alcoholic fatty acid liver disease	0.0359042553191489	0.0139592315363908	1
Familial hepatitis B virus-related hepatocellular carcinoma	0.0354609929078015	0.121829931621467	1
Interferon alpha levels in systemic lupus erythematosus	0.0354609929078014	0.0374415524985208	1
Neutrophil percentage of granulocytes	0.0354440481643963	2.48410306920802e-15	4.59310657496563e-12
Obsessive-compulsive disorder or autism spectrum disorder	0.03513324736729	0.0071035730819617	1
Longitudinal alcohol consumption	0.0351063829787235	0.023381370055179	1
Percentage gas trapping	0.0350042983021706	0.000882676148779122	0.968295735210697
Leprosy	0.0349597822084982	5.76360484222121e-06	0.00806328317426747
Cardiometabolic and hematological traits	0.0349290780141844	0.000481792966445924	0.547798602849015
Bronchodilator response in asthma inhaled corticosteroid treatment interaction	0.0348404255319149	0.254133222544822	1
Coronary atherosclerosis increased number of diseased vessels traffic exposure interaction	0.0347538838230327	0.0152581825614773	1
Congenital heart malformation	0.0345744680851064	0.0918281633633021	1
Nephrotic syndrome acquired	0.0345744680851064	0.275832415328264	1
White blood cell count	0.0344223656509079	6.15205439399791e-19	1.1645838967838e-15
RANTES levels	0.034406905151586	8.16231794599499e-06	0.0112966480372571
Sphingolipid levels	0.0343971631205674	0.0668008184153745	1
Waist-to-hip ratio adjusted for body mass index	0.0343413209553262	4.00909334593448e-05	0.052559213765201
Ischemic stroke	0.0343163042631128	0.000973173680449961	1
Feeling nervous	0.0342901637163767	5.10064069947949e-10	8.61498214142086e-07
Uric acid levels	0.0340616612453119	0.000130051313731147	0.159442910634386
Acylcarnitine levels	0.0337512664640324	0.0616865709154481	1
Waist circumference adjusted for BMI adjusted for smoking behaviour	0.0336518003273323	6.89834459573839e-05	0.0878849101497071
Adverse response to chemotherapy neutropenia-over-leucopenia epirubicin	0.0335992907801418	0.00143195538405775	1
Kawasaki disease	0.0334599797365755	0.000741252336447967	0.823531345793691
Chronic mucus hypersecretion	0.0332446808510638	0.00616680068745059	1
Red cell distribution width	0.0331580018181746	5.36852648099325e-17	1.00337759929764e-13
Pulse pressure x alcohol consumption interaction 2df test	0.0331181343973291	3.74417723875099e-07	0.000566868433946899
Moderate to vigorous physical activity levels	0.0330284225231033	0.00725453656918759	1
Adverse response to chemotherapy neutropenia-over-leucopenia all antimicrotubule drugs	0.032985439501397	0.00343832626273573	1
Monocyte percentage of white cells	0.0329237090447452	3.07850156637316e-19	5.83376046827714e-16
Heschl's gyrus morphology	0.0329015803893327	1.17439971268877e-05	0.0159835800896942
Interleukin-18 levels	0.0328993570179098	0.00381257375314577	1
Antineutrophil cytoplasmic antibody-associated vasculitis	0.0328014184397163	0.218298467264398	1
Urinary albumin excretion rate in type 1 diabetes	0.0328014184397163	0.266083951035768	1
Juvenile idiopathic arthritis oligoarticular or rheumatoid factor-negative polyarticular	0.0327841484756379	0.00498944432632157	1
Type 1 diabetes and autoimmune thyroid diseases	0.032565011820331	0.00145689433270844	1
Intracranial aneurysm	0.032413685605175	0.0108173653592495	1
Fibrinogen levels	0.032378825485232	7.28695787909855e-05	0.0921800171705967
Diverticular disease	0.0323493252536685	7.70083053408388e-14	1.39924090804304e-10
Hematocrit	0.032300363651868	2.20436060510716e-15	4.07806711944824e-12
Type 1 diabetes nephropathy	0.0322842789598109	0.0395094539911071	1
Hepatitis B surface antigen seroclearance in chronic hepatitis B infection	0.0319148936170213	0.415772669730194	1
Major depressive disorder unexposed to adversity	0.0319148936170213	0.0911386614274557	1
Neuritic plaques or neurofibrillary tangles or cerebral amyloid angiopathy pleiotropy	0.0319148936170212	0.132941511039634	1
Eosinophil counts	0.031882989375733	6.41770792815689e-16	1.18984304988029e-12
HIV-1 viral setpoint	0.0318199088145897	0.00799186679302125	1
Nicotine dependence symptom count	0.0316434697245826	0.000232772105617654	0.276998805685008
Irritable mood	0.0316220382724347	5.2004352701674e-07	0.00078006529052511
Primary tooth development time to first tooth eruption	0.0310941275037019	0.000536458975365889	0.607808019089552
Mean corpuscular volume	0.0308440765775419	8.81670322584359e-21	1.6742919425877e-17
Lead levels in blood	0.0306749987601051	0.0049708533034724	1
Urate levels	0.0306422325635408	4.30389442892615e-05	0.0562088612417755
Pulse pressure x alcohol consumption light vs heavy interaction 2df test	0.0306417134874582	0.0514228440942707	1
Information processing speed	0.0305918039116465	0.000342725813293698	0.398932846673865
Osteoarthritis of the knee with total joint replacement	0.0305851063829787	0.213517180483233	1
Psoriasis	0.0304824911676175	2.43848123436072e-07	0.000374063021350934
Serum thyroid-stimulating hormone levels	0.0302818215752146	0.000695077428767915	0.775706410504993
Age-related macular degeneration	0.03026361239088	0.00111806750710806	1
Squamous cell lung carcinoma	0.030243052745987	5.47382437102381e-10	9.23434171391717e-07
Verbal declarative memory	0.0301968449753922	0.00112687891866441	1
Non-cardia gastric cancer	0.0301545086119554	0.17123769296718	1
Ease of getting up in the morning	0.0295212765957447	0.104862149549088	1
Differentiated thyroid cancer	0.0293291962174941	0.0451065768248023	1
Papillary thyroid cancer	0.0293291962174941	0.0451065768248023	1
White wine liking	0.0292553191489362	0.233786024964613	1
Immune response to anthrax vaccine	0.0292553191489362	5.4953808442886e-05	0.0706705976575514
Response to cholinesterase inhibitors in Alzheimer's disease	0.0292553191489362	0.026471512204413	1
Narcolepsy with cataplexy	0.0292553191489361	0.0280255439523318	1
Weight	0.0292269914876297	9.63706445715194e-05	0.119788711202399
Granulocyte percentage of myeloid white cells	0.0292085451434921	5.91919468322584e-16	1.09801061373839e-12
Allergic disease asthma, hay fever or eczema	0.0291880519550669	3.80702699147768e-13	6.85264858465983e-10
Parkinson's disease	0.0289485493009273	1.18153194848412e-07	0.000183610064794432
Liver enzyme levels alanine transaminase	0.028880250954719	0.00156943354897704	1
BMI in non-smokers	0.0286708897818179	0.00347134665757556	1
Alcoholism heaviness of drinking	0.0285904255319148	0.0703193701560259	1
Cerebrospinal fluid p-Tau181p:AB1-42 ratio	0.0283687943262411	0.295473716442186	1
Non-glioblastoma glioma	0.0283687943262411	0.0391588464490335	1
C-reactive protein levels or total cholesterol levels pleiotropy	0.0282117769653588	0.00242706836681896	1
Vein graft stenosis in coronary artery bypass grafting	0.0279255319148936	0.0359668992073932	1
N-glycan levels	0.0279255319148936	0.00601223214148778	1
Logical memory delayed recall in normal cognition	0.0278622087132726	0.0010728083748629	1
Serous invasive ovarian cancer	0.0275830867061271	0.00344275580282643	1
Anorexia nervosa	0.0275555118640225	0.0248399821093169	1
Ankylosing spondylitis	0.0275485013306961	0.0049766184855117	1
Platelet distribution width	0.0274998745339367	1.66979992201053e-14	3.05573385727927e-11
Esophageal adenocarcinoma	0.0274876423812594	0.00710501084725013	1
Red blood cell count	0.0273766594335531	9.60914092190592e-14	1.74309816323373e-10
Depression	0.0272252795104812	5.16847330344564e-10	8.72438293621624e-07
Breast cancer	0.0272197774167828	2.85114840458317e-26	5.4542468979676e-23
Erectile dysfunction in type 1 diabetes	0.0271276595744681	0.075878563794051	1
Epilepsy	0.0270516717325227	0.171364064223396	1
Sum basophil neutrophil counts	0.0269690136679134	6.4800141480275e-11	1.12557845751238e-07
Endometrial cancer	0.0269485051495243	0.00792628886024583	1
Cognitive decline rate in late mild cognitive impairment	0.0269444568607585	7.82690190237706e-06	0.0108480860366946
Central corneal thickness	0.0268077930813451	7.44443828475338e-06	0.0103477692158072
White matter lesion progression adjusted for white matter lesion burden at baseline	0.0267730496453901	0.131643001658433	1
Facial morphology factor 15, philtrum width	0.0267381259402536	0.0672546872675277	1
Colorectal or endometrial cancer	0.0266685663627153	0.00455877615844135	1
Anthropometric traits in newborns	0.0265957446808511	0.00685472590907531	1
Osteoporosis	0.0265957446808511	0.361876549207335	1
Hippocampal subfield CA1 volume	0.0265957446808511	0.170400663724059	1
Sunburns	0.0265957446808511	0.0889901885873834	1
Nonsyndromic cleft lip with or without cleft palate x sex interaction 2df test	0.026595744680851	0.251063942434937	1
Febrile seizures MMR vaccine-related	0.026405775075988	0.103931181183098	1
Hip minimal joint space width	0.0262791286727457	0.103596567319415	1
Subjective well-being MTAG	0.0262022489135914	0.000166465903489859	0.202422538643668
Knee osteoarthritis	0.0259536857941113	0.0118174429751462	1
Left  ventricle systolic dysfunction	0.025709219858156	0.128550607685034	1
Ovarian cancer in BRCA1 mutation carriers	0.025709219858156	0.0583870208017654	1
Response to platinum-based chemotherapy in non-small-cell lung cancer	0.025709219858156	0.185447256344278	1
Diffuse large B cell lymphoma	0.0255129179331307	0.0405967816640239	1
Visceral adipose tissue-over-subcutaneous adipose tissue ratio	0.0254686301949329	6.97560345035444e-05	0.0886880475049011
Endometrial endometrioid carcinoma	0.0254305977710233	0.16461181867741	1
Osteoarthritis	0.0251519756838907	0.104219272751542	1
Hormone measurements	0.025	0.145807929318821	1
Facial morphology factor 4, facial height related to vertical position of gnathion	0.0249493414387032	0.00247824944989301	1
Venlafaxine response in generalised anxiety disorder responders vs non-responders after 24 weeks	0.024822695035461	0.101139905167773	1
Systolic blood pressure x alcohol consumption interaction 2df test	0.0247884967542305	5.98600698228996e-07	0.000894908043852349
Neutrophil percentage of white cells	0.0247445228506535	1.51780092442834e-08	2.45580189572506e-05
Total body bone mineral density	0.0246863766762995	5.35385764508029e-08	8.46444893687194e-05
Glomerular filtration rate in chronic kidney disease	0.0245928527252632	0.0170795680963229	1
Neutrophil count	0.0245859358552263	1.67136199761329e-09	2.77780364003328e-06
Adverse response to chemotherapy neutropenia-over-leucopenia etoposide	0.0243794326241135	0.276190137113978	1
Diffusing capacity of the lung for carbon monoxide traits	0.0242211246200608	0.0481067230963292	1
Facial wrinkles	0.0239614994934144	0.197456259494201	1
Blood pressure anthropometric measures interaction	0.023936170212766	0.358941262574091	1
Homeostasis model assessment of insulin resistance	0.023936170212766	0.44282965016133	1
Response to angiotensin II receptor blocker therapy	0.0239140070921986	0.0257988045218383	1
Waist circumference adjusted for body mass index	0.0238926130311743	0.00652282535389775	1
Response to radiotherapy in prostate cancer overall toxicity	0.0234986644561113	0.0177049201708048	1
Allergic rhinitis	0.0234885738971397	0.000778072665861594	0.861326441108784
Response to antipsychotic treatment in schizophrenia	0.0234781323877069	0.111046294013766	1
Facial morphology factor 11, projection of the nose	0.0234633569739952	0.0495724103891135	1
Suffering from nerves	0.0234612462006079	0.117372303927037	1
Celiac disease	0.0234063194791353	4.26351144549945e-06	0.00601581464959972
Parental longevity mother's attained age	0.0233282674772036	0.121128240810095	1
Eosinophil percentage of white cells	0.023195984192773	2.03041087796169e-10	3.47606342307041e-07
Follicule stimulating hormone levels in polycystic ovary syndrome	0.0230496453900709	0.017124139247124	1
Primary biliary cirrhosis	0.0229874331218116	0.000117130377217372	0.14442175510902
Positive affect	0.0228052333625878	0.0053079750967687	1
Adiponectin levels	0.022735052646365	0.000746925772645143	0.829087607636109
Eating disorders purging via substances	0.0227266970618035	0.117774468130594	1
Mean arterial pressure	0.0226511228827291	9.04158921292831e-06	0.012486434703054
Other erythrocyte phenotypes	0.0226063829787234	0.17771198661794	1
Paget's disease	0.0225113981762918	0.0975297892959867	1
Toenail selenium levels	0.022453433091731	0.0492116026162497	1
Testicular germ cell tumor	0.0221198943172531	0.0127300327514923	1
Mean corpuscular hemoglobin	0.0220652641277778	5.04080350150425e-14	9.18434397974075e-11
P wave duration	0.0219052224371373	0.229267369493243	1
Pancreatic cancer	0.0216407817284805	0.000434964839545067	0.498034741279102
Asthma and hay fever	0.0214939433220097	0.0239884420927555	1
Economic and political preferences feminism-over-equality	0.0214324091983666	0.0664976298499665	1
Epstein Barr virus nuclear antigen 1 IgG levels or multiple sclerosis	0.0212765957446809	0.303646360231851	1
Intracranial volume	0.0212765957446809	0.491925198848151	1
Response to aripiprazole in schizophrenia	0.0212765957446809	0.575675103377863	1
Age-related macular degeneration wet	0.0212765957446809	0.610260580344223	1
Gait variability	0.0212765957446809	0.524288288969269	1
Parental lifespan	0.0212765957446809	0.20791193112223	1
Hashimoto thyroiditis versus Graves' disease	0.0212765957446808	0.679852066468921	1
Thyrotoxic hypokalemic periodic paralysis	0.0212765957446808	0.644697945359862	1
Verbal memory	0.0212765957446808	0.417954813182684	1
Behavioural disinhibition generation interaction	0.0211722987067168	0.00432820486799477	1
Educational attainment years of education	0.0211010137977085	1.60659947270761e-37	3.09431058443487e-34
Expressive vocabulary in infants	0.0210992907801419	0.157359225066119	1
Eyebrow thickness	0.0208333333333333	0.368204272202984	1
Platelet aggregation	0.0207615670381628	0.161559460507947	1
Invasive epithelial ovarian cancer	0.0206053698074975	0.0510511787141406	1
Platelet count	0.0204674451372276	1.83483181555966e-14	3.35407255884306e-11
Educational attainment	0.0204437710310319	0.000401779706883728	0.46244844262317
HIV-1 control	0.0203900709219858	0.25402547673509	1
PR interval	0.0203569871087194	0.0266728919162912	1
Adverse response to chemotherapy in breast cancer alopecia anti-microtubule	0.0202127659574468	0.100802544603046	1
Dietary macronutrient intake	0.0199341438703141	0.284412438676484	1
Breast milk fatty acid composition maternal genotype effect	0.0196808510638298	0.141640601506739	1
